"id","zip_type","zip","zip_complement","short_name","long_name","state_id/unique_code","country_id/code"
104,20,1000,0,"Lausanne","Lausanne","CH_VD","CH"
105,80,1000,1,"Lausanne 1 Dépôt","Lausanne 1 Dépôt","CH_VD","CH"
106,80,1000,2,"Lausanne 2","Lausanne 2","CH_VD","CH"
107,30,1000,3,"Lausanne 3","Lausanne 3","CH_VD","CH"
110,30,1000,6,"Lausanne 6","Lausanne 6","CH_VD","CH"
111,30,1000,7,"Lausanne 7","Lausanne 7","CH_VD","CH"
112,30,1000,8,"Lausanne 8","Lausanne 8","CH_VD","CH"
114,30,1000,12,"Lausanne 12","Lausanne 12","CH_VD","CH"
116,30,1000,14,"Lausanne 14","Lausanne 14","CH_VD","CH"
117,30,1000,16,"Lausanne 16","Lausanne 16","CH_VD","CH"
118,80,1000,17,"Lausanne 17","Lausanne 17","CH_VD","CH"
119,80,1000,19,"Lausanne 19","Lausanne 19","CH_VD","CH"
120,30,1000,20,"Lausanne 20","Lausanne 20","CH_VD","CH"
121,30,1000,21,"Lausanne 21","Lausanne 21","CH_VD","CH"
122,30,1000,22,"Lausanne 22","Lausanne 22","CH_VD","CH"
123,30,1000,23,"Lausanne 23","Lausanne 23","CH_VD","CH"
124,80,1000,24,"Lausanne 24","Lausanne 24 Vennes","CH_VD","CH"
125,10,1000,25,"Lausanne 25","Lausanne 25","CH_VD","CH"
126,10,1000,26,"Lausanne 26","Lausanne 26","CH_VD","CH"
127,20,1000,27,"Lausanne 27","Lausanne 27","CH_VD","CH"
130,80,1000,60,"Lausanne Dist","Lausanne Distribution","CH_VD","CH"
132,40,1000,65,"Lausanne Swisscom","Lausanne Swisscom","CH_VD","CH"
145,30,1001,1,"Lausanne","Lausanne","CH_VD","CH"
149,30,1002,0,"Lausanne","Lausanne","CH_VD","CH"
150,20,1003,0,"Lausanne","Lausanne","CH_VD","CH"
151,20,1004,0,"Lausanne","Lausanne","CH_VD","CH"
152,20,1005,0,"Lausanne","Lausanne","CH_VD","CH"
153,20,1006,0,"Lausanne","Lausanne","CH_VD","CH"
154,20,1007,0,"Lausanne","Lausanne","CH_VD","CH"
156,10,1008,0,"Prilly","Prilly","CH_VD","CH"
157,10,1009,0,"Pully","Pully","CH_VD","CH"
158,10,1010,0,"Lausanne","Lausanne","CH_VD","CH"
159,20,1011,0,"Lausanne","Lausanne","CH_VD","CH"
160,20,1012,0,"Lausanne","Lausanne","CH_VD","CH"
162,40,1014,0,"Lausanne Adm cant","Lausanne Adm cant VD","CH_VD","CH"
163,10,1015,0,"Lausanne","Lausanne","CH_VD","CH"
164,10,1018,0,"Lausanne","Lausanne","CH_VD","CH"
165,20,1020,0,"Renens VD","Renens VD","CH_VD","CH"
166,30,1020,1,"Renens VD 1","Renens VD 1","CH_VD","CH"
167,30,1020,2,"Renens VD 2","Renens VD 2","CH_VD","CH"
168,10,1022,0,"Chavannes-Renens","Chavannes-près-Renens","CH_VD","CH"
169,20,1023,0,"Crissier","Crissier","CH_VD","CH"
170,10,1024,0,"Ecublens VD","Ecublens VD","CH_VD","CH"
171,10,1025,0,"St-Sulpice VD","St-Sulpice VD","CH_VD","CH"
173,30,1026,0,"Echandens-Denges","Echandens-Denges","CH_VD","CH"
174,10,1027,0,"Lonay","Lonay","CH_VD","CH"
175,10,1028,0,"Préverenges","Préverenges","CH_VD","CH"
178,10,1030,0,"Bussigny-Lausanne","Bussigny-près-Lausanne","CH_VD","CH"
179,10,1032,0,"Romanel-s-Lausanne","Romanel-sur-Lausanne","CH_VD","CH"
180,10,1033,0,"Cheseaux-Lausanne","Cheseaux-sur-Lausanne","CH_VD","CH"
182,10,1037,0,"Etagnières","Etagnières","CH_VD","CH"
183,10,1038,0,"Bercher","Bercher","CH_VD","CH"
185,10,1040,0,"Echallens","Echallens","CH_VD","CH"
191,20,1040,3,"St-Barthélemy VD","St-Barthélemy VD","CH_VD","CH"
192,20,1377,0,"Oulens-Echallens","Oulens-sous-Echallens","CH_VD","CH"
193,20,1042,4,"Bettens","Bettens","CH_VD","CH"
194,20,1040,2,"Villars-le-Terroir","Villars-le-Terroir","CH_VD","CH"
195,20,1417,2,"Epautheyres","Epautheyres","CH_VD","CH"
196,20,1041,21,"Dommartin","Dommartin","CH_VD","CH"
197,20,1063,4,"Peyres-Possens","Peyres-Possens","CH_VD","CH"
198,20,1063,3,"Boulens","Boulens","CH_VD","CH"
199,10,1041,31,"Poliez-le-Grand","Poliez-le-Grand","CH_VD","CH"
200,20,1041,32,"Poliez-Pittet","Poliez-Pittet","CH_VD","CH"
201,20,1041,33,"Bottens","Bottens","CH_VD","CH"
202,20,1053,2,"Bretigny-Morrens","Bretigny-sur-Morrens","CH_VD","CH"
205,20,1034,0,"Boussens","Boussens","CH_VD","CH"
206,20,1035,0,"Bournens","Bournens","CH_VD","CH"
207,10,1036,0,"Sullens","Sullens","CH_VD","CH"
208,10,1042,0,"Assens","Assens","CH_VD","CH"
209,20,1043,0,"Sugnens","Sugnens","CH_VD","CH"
210,20,1044,0,"Fey","Fey","CH_VD","CH"
211,20,1045,0,"Ogens","Ogens","CH_VD","CH"
212,20,1407,4,"Bioley-Magnoux","Bioley-Magnoux","CH_VD","CH"
213,20,1042,3,"Bioley-Orjulaz","Bioley-Orjulaz","CH_VD","CH"
214,10,1052,0,"Mont-sur-Lausanne","Le Mont-sur-Lausanne","CH_VD","CH"
215,10,1053,0,"Cugy VD","Cugy VD","CH_VD","CH"
216,10,1054,0,"Morrens VD","Morrens VD","CH_VD","CH"
217,10,1055,0,"Froideville","Froideville","CH_VD","CH"
219,10,1410,0,"Thierrens","Thierrens","CH_VD","CH"
221,10,1066,0,"Epalinges","Epalinges","CH_VD","CH"
222,10,1073,0,"Savigny","Savigny","CH_VD","CH"
