"id","zip_type","zip","zip_complement","short_name","long_name","state_id:id","country_id:id"
104,20,1000,0,"Lausanne","Lausanne","res_country_state_ch_vd","base.ch"
105,80,1000,1,"Lausanne 1 Dépôt","Lausanne 1 Dépôt","res_country_state_ch_vd","base.ch"
106,80,1000,2,"Lausanne 2","Lausanne 2","res_country_state_ch_vd","base.ch"
107,30,1000,3,"Lausanne 3","Lausanne 3","res_country_state_ch_vd","base.ch"
110,30,1000,6,"Lausanne 6","Lausanne 6","res_country_state_ch_vd","base.ch"
111,30,1000,7,"Lausanne 7","Lausanne 7","res_country_state_ch_vd","base.ch"
112,30,1000,8,"Lausanne 8","Lausanne 8","res_country_state_ch_vd","base.ch"
114,30,1000,12,"Lausanne 12","Lausanne 12","res_country_state_ch_vd","base.ch"
116,30,1000,14,"Lausanne 14","Lausanne 14","res_country_state_ch_vd","base.ch"
117,30,1000,16,"Lausanne 16","Lausanne 16","res_country_state_ch_vd","base.ch"
118,80,1000,17,"Lausanne 17","Lausanne 17","res_country_state_ch_vd","base.ch"
119,80,1000,19,"Lausanne 19","Lausanne 19","res_country_state_ch_vd","base.ch"
120,30,1000,20,"Lausanne 20","Lausanne 20","res_country_state_ch_vd","base.ch"
121,30,1000,21,"Lausanne 21","Lausanne 21","res_country_state_ch_vd","base.ch"
122,30,1000,22,"Lausanne 22","Lausanne 22","res_country_state_ch_vd","base.ch"
123,30,1000,23,"Lausanne 23","Lausanne 23","res_country_state_ch_vd","base.ch"
124,80,1000,24,"Lausanne 24","Lausanne 24 Vennes","res_country_state_ch_vd","base.ch"
125,10,1000,25,"Lausanne 25","Lausanne 25","res_country_state_ch_vd","base.ch"
126,10,1000,26,"Lausanne 26","Lausanne 26","res_country_state_ch_vd","base.ch"
127,20,1000,27,"Lausanne 27","Lausanne 27","res_country_state_ch_vd","base.ch"
130,80,1000,60,"Lausanne Dist","Lausanne Distribution","res_country_state_ch_vd","base.ch"
132,40,1000,65,"Lausanne Swisscom","Lausanne Swisscom","res_country_state_ch_vd","base.ch"
145,30,1001,1,"Lausanne","Lausanne","res_country_state_ch_vd","base.ch"
149,30,1002,0,"Lausanne","Lausanne","res_country_state_ch_vd","base.ch"
150,20,1003,0,"Lausanne","Lausanne","res_country_state_ch_vd","base.ch"
